alpha,beta,gamma,condition,E_trial,Eff_Global,Eff_Local
1.0,1.0,1.0,Real,19853061.164501354,5.4673717230600004e-08,5.596648769941137e-09
1.0,1.0,1.0,Null_Conn,24879815.449602433,3.9888089679065855e-08,4.212766410142163e-09
1.0,1.0,1.0,Null_Strength,19887547.25890846,5.429751947524237e-08,5.997958563686227e-09
1.0,1.0,10.0,Real,109028817.26628159,9.955539090356054e-09,1.0190939710416807e-09
1.0,1.0,10.0,Null_Conn,159307883.75170457,6.2294990460051934e-09,6.57926326985683e-10
1.0,1.0,10.0,Null_Strength,107957366.33644259,1.0002508594365996e-08,1.1049239939824122e-09
1.0,10.0,0.0,Real,98442804.88055201,1.1026104483581096e-08,1.1286818826494373e-09
1.0,10.0,0.0,Null_Conn,98430041.15899874,1.0082372192136601e-08,1.0648461545120352e-09
1.0,10.0,0.0,Null_Strength,99981460.87656792,1.0800447154283e-08,1.1930680282772365e-09
1.0,10.0,1.0,Real,108351222.22519426,1.0017797953527492e-08,1.0254670696279122e-09
1.0,10.0,1.0,Null_Conn,113366493.19256565,8.753982609011585e-09,9.245487609693e-10
1.0,10.0,1.0,Null_Strength,109766996.32962726,9.837606208724542e-09,1.086708103354454e-09
1.0,10.0,10.0,Real,197526978.3269745,5.495151403941284e-09,5.62508530667374e-10
1.0,10.0,10.0,Null_Conn,247794561.49466777,4.004964047097157e-09,4.2298285395935377e-10
1.0,10.0,10.0,Null_Strength,197836815.40716138,5.458258526771133e-09,6.029448267593103e-10
1.0,100.0,0.0,Real,983424415.4874811,1.1037357169251316e-09,1.1298337584062869e-10
1.0,100.0,0.0,Null_Conn,983296818.5886309,1.0092662674092622e-09,1.0659329801052712e-10
1.0,100.0,0.0,Null_Strength,998775951.5837559,1.0811678864444816e-09,1.1943087356392113e-10
1.0,100.0,1.0,Real,993332832.8321234,1.0927260394434145e-09,1.1185637550012477e-10
1.0,100.0,1.0,Null_Conn,998233270.6221979,9.94164729887016e-10,1.0499835449412681e-10
1.0,100.0,1.0,Null_Strength,1008561487.0368152,1.0706778897318415e-09,1.1827209934690908e-10
1.0,100.0,10.0,Real,1082508588.9339037,1.002708582052672e-09,1.0264178176664509e-10
1.0,100.0,10.0,Null_Conn,1132661338.9243,8.761739063106456e-10,9.253679561108971e-11
1.0,100.0,10.0,Null_Strength,1096631306.1143494,9.846923743510075e-10,1.0877373619301576e-10
10.0,0.01,0.0,Real,509049.42122190597,2.1322893358061313e-06,2.1827077237248655e-07
10.0,0.01,0.0,Null_Conn,508991.8656661423,1.949752789376186e-06,2.059224476592519e-07
10.0,0.01,0.0,Null_Strength,549499.589993274,1.9651415656535845e-06,2.1707875049323446e-07
10.0,0.01,1.0,Real,10417466.765864154,1.0419429950345645e-07,1.0665799358243094e-08
10.0,0.01,1.0,Null_Conn,15445443.899233045,6.425249519061273e-08,6.786004436028266e-09
10.0,0.01,1.0,Null_Strength,10335035.043052621,1.0448387258553847e-07,1.1541778416365377e-08
10.0,0.01,10.0,Real,99593222.8676444,1.0898740105160196e-08,1.1156442893060548e-09
10.0,0.01,10.0,Null_Conn,149873512.2013352,6.621639109378987e-09,6.99342060362334e-10
10.0,0.01,10.0,Null_Strength,98404854.12058674,1.09734879875146e-08,1.2121829299813947e-09
10.0,0.1,0.0,Real,1394031.0318288351,7.786344977168545e-07,7.970454588812573e-08
10.0,0.1,0.0,Null_Conn,1393858.6430957746,7.11986337185671e-07,7.519618387114974e-08
10.0,0.1,0.0,Null_Strength,1448294.080700462,7.455975267696478e-07,8.236219838348919e-08
10.0,0.1,1.0,Real,11302448.376471084,9.603588674904934e-08,9.83066736028431e-09
10.0,0.1,1.0,Null_Conn,16330310.676662678,6.077093874708586e-08,6.4183010900341975e-09
10.0,0.1,1.0,Null_Strength,11233829.53375981,9.612434311560858e-08,1.061834559922876e-08
10.0,0.1,10.0,Real,100478204.47825132,1.0802747301328409e-08,1.1058180321078762e-09
10.0,0.1,10.0,Null_Conn,150758378.9787648,6.58277381711657e-09,6.952373163377186e-10
10.0,0.1,10.0,Null_Strength,99303648.61129393,1.0874167260784546e-08,1.201211496862545e-09
10.0,1.0,0.0,Real,10243847.137898127,1.0596025474199614e-07,1.0846570516930886e-08
10.0,1.0,0.0,Null_Conn,10242526.417392096,9.689096902569008e-08,1.0233105246245302e-08
10.0,1.0,0.0,Null_Strength,10436238.987772342,1.0347065507704346e-07,1.1429853660120748e-08
10.0,1.0,1.0,Real,20152264.482540376,5.386196936876068e-08,5.5135545904599085e-09
10.0,1.0,1.0,Null_Conn,25178978.450958997,3.941416097500778e-08,4.162712598557752e-09
10.0,1.0,1.0,Null_Strength,20221774.44083169,5.340008552488695e-08,5.898823802100453e-09
10.0,1.0,10.0,Real,109328020.58432062,9.928293281708084e-09,1.0163049669428268e-09
10.0,1.0,10.0,Null_Conn,159607046.75306115,6.2178226465637945e-09,6.566931282099606e-10
10.0,1.0,10.0,Null_Strength,108291593.51836582,9.971637220595964e-09,1.1015137973018595e-09
10.0,10.0,0.0,Real,98742008.19859102,1.0992693708301975e-08,1.1252618047063188e-09
10.0,10.0,0.0,Null_Conn,98729204.1603553,1.0051821224452363e-08,1.0616195249217733e-09
10.0,10.0,0.0,Null_Strength,100315688.05849114,1.0764462722677628e-08,1.1890930192567003e-09
10.0,10.0,1.0,Real,108650425.54323328,9.990210777755712e-09,1.0226431216476041e-09
10.0,10.0,1.0,Null_Conn,113665656.1939222,8.730942512303156e-09,9.22115389346827e-10
10.0,10.0,1.0,Null_Strength,110101223.51155049,9.807742822150391e-09,1.0834092536652934e-09
10.0,10.0,10.0,Real,197826181.6450135,5.4868402313780064e-09,5.616577614850474e-10
10.0,10.0,10.0,Null_Conn,248093724.49602434,4.000134674378888e-09,4.2247280147668857e-10
10.0,10.0,10.0,Null_Strength,198171042.58908463,5.449052850998442e-09,6.019279246545924e-10
10.0,100.0,0.0,Real,983723618.80552,1.1034000114663737e-09,1.129490115127946e-10
10.0,100.0,0.0,Null_Conn,983595981.5899875,1.0089592967308765e-09,1.0656087741146593e-10
10.0,100.0,0.0,Null_Strength,999110178.7656791,1.0808062089202683e-09,1.1939092096894784e-10
10.0,100.0,1.0,Real,993632036.1501623,1.0923969968553998e-09,1.1182269321384995e-10
10.0,100.0,1.0,Null_Conn,998532433.6235545,9.9386687546144e-10,1.0496689670486505e-10
10.0,100.0,1.0,Null_Strength,1008895714.2187384,1.0703231953379717e-09,1.1823291814125247e-10
10.0,100.0,10.0,Real,1082807792.2519426,1.0024315118866436e-09,1.0261341961235163e-10
10.0,100.0,10.0,Null_Conn,1132960501.9256566,8.759425488934393e-10,9.251236087972539e-11
10.0,100.0,10.0,Null_Strength,1096965533.2962725,9.843923549362209e-10,1.0874059464188079e-10
100.0,0.01,0.0,Real,3501082.60161213,3.100300037965242e-07,3.173607223511664e-08
100.0,0.01,0.0,Null_Conn,3500621.8792317915,2.8349486008187014e-07,2.994120885733087e-08
100.0,0.01,0.0,Null_Strength,3891771.4092255514,2.774686308773388e-07,3.0650485819777835e-08
100.0,0.01,1.0,Real,13409499.946254378,8.094564723667755e-08,8.285962249987461e-09
100.0,0.01,1.0,Null_Conn,18437073.912798695,5.3826779376495175e-08,5.684896166948808e-09
100.0,0.01,1.0,Null_Strength,13677306.862284899,7.895154327370182e-08,8.721357617647042e-09
100.0,0.01,10.0,Real,102585256.04803462,1.0580864093778795e-08,1.0831050642779125e-09
100.0,0.01,10.0,Null_Conn,152865142.21490082,6.492051068498028e-09,6.856556654968023e-10
100.0,0.01,10.0,Null_Strength,101747125.93981902,1.0613021985938819e-08,1.1723641654786256e-09
100.0,0.1,0.0,Real,4386064.2122190595,2.4747486579103046e-07,2.5332645617985155e-08
100.0,0.1,0.0,Null_Conn,4385488.656661424,2.2629366703409708e-07,2.3899925190186873e-08
100.0,0.1,0.0,Null_Strength,4790565.899932739,2.2541063147060485e-07,2.489991514237584e-08
100.0,0.1,1.0,Real,14294481.556861307,7.593424413134769e-08,7.77297238125715e-09
100.0,0.1,1.0,Null_Conn,19321940.690228328,5.1361730468111825e-08,5.42455090288255e-09
100.0,0.1,1.0,Null_Strength,14576101.352992088,7.408321734698433e-08,8.183579511664041e-09
100.0,0.1,10.0,Real,103470237.65864155,1.0490365894883981e-08,1.073841259671573e-09
100.0,0.1,10.0,Null_Conn,153750008.99233046,6.454687816648222e-09,6.817095589363481e-10
100.0,0.1,10.0,Null_Strength,102645920.43052621,1.0520091593277259e-08,1.162098638620713e-09
100.0,1.0,0.0,Real,13235880.31828835,8.200743933669245e-08,8.394652087655123e-09
100.0,1.0,0.0,Null_Conn,13234156.430957746,7.498840708357337e-08,7.919873953691503e-09
100.0,1.0,0.0,Null_Strength,13778510.80700462,7.837163970263185e-08,8.657298750431248e-09
100.0,1.0,1.0,Real,23144297.6629306,4.689883737575088e-08,4.800776932792157e-09
100.0,1.0,1.0,Null_Conn,28170608.46452465,3.5228501049315046e-08,3.7206456136228783e-09
100.0,1.0,1.0,Null_Strength,23564046.26006397,4.582593637305369e-08,5.062147776990518e-09
100.0,1.0,10.0,Real,112320053.76471084,9.66381884523974e-09,9.892321684481052e-10
100.0,1.0,10.0,Null_Conn,162598676.76662678,6.103421808756324e-09,6.446107243975672e-10
100.0,1.0,10.0,Null_Strength,111633865.33759809,9.673090520871675e-09,1.068534929177174e-09
100.0,10.0,0.0,Real,101734041.37898125,1.0669394801944936e-08,1.092167467642042e-09
100.0,10.0,0.0,Null_Conn,101720834.17392094,9.756195158167335e-09,1.0303970830342733e-09
100.0,10.0,0.0,Null_Strength,103657959.87772343,1.0417381220691464e-08,1.1507527693289995e-09
100.0,10.0,1.0,Real,111642458.7236235,9.722471761006412e-09,9.952361459624652e-10
100.0,10.0,1.0,Null_Conn,116657286.20748785,8.507040941165409e-09,8.984681045142773e-10
100.0,10.0,1.0,Null_Strength,113443495.33078277,9.51878714118191e-09,1.05148985443784e-09
100.0,10.0,10.0,Real,200818214.82540375,5.405090634898145e-09,5.532895033574266e-10
100.0,10.0,10.0,Null_Conn,251085354.50958997,3.952473897932768e-09,4.1743912551704774e-10
100.0,10.0,10.0,Null_Strength,201513314.4083169,5.358675617916478e-09,5.919444317737915e-10
100.0,100.0,0.0,Real,986715651.9859103,1.1000541544923753e-09,1.1260651447278273e-10
100.0,100.0,0.0,Null_Conn,986587611.6035532,1.0058998290474538e-09,1.0623775281980611e-10
100.0,100.0,0.0,Null_Strength,1002452450.5849113,1.0772026982180722e-09,1.189928602824845e-10
100.0,100.0,1.0,Real,996624069.3305526,1.089117437228724e-09,1.1148698266991217e-10
100.0,100.0,1.0,Null_Conn,1001524063.6371201,9.908981180625201e-10,1.0465335244765298e-10
100.0,100.0,1.0,Null_Strength,1012237986.0379707,1.066789134077091e-09,1.1784252916567586e-10
100.0,100.0,10.0,Real,1085799825.4323328,9.996692086753318e-10,1.0233065777260719e-10
100.0,100.0,10.0,Null_Conn,1135952131.9392223,8.736356770229183e-10,9.226872142727668e-11
100.0,100.0,10.0,Null_Strength,1100307805.1155047,9.81402185447579e-10,1.0841028650138736e-10
