epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
112,-40.60724609838218,0.6270250235052544,4123.427112188744,599.906443309041,113,EProp,0.01,0.1,0,0.3955269911348103
113,-40.559434536081056,0.6109736754465294,4117.040821152758,594.1044999858082,114,EProp,0.01,0.1,0,0.3949144059212854
114,-40.626386547797495,0.5999513445900804,4122.633789238757,599.3957993110826,115,EProp,0.01,0.1,0,0.3954508940847427
115,-40.55424755482531,0.6375810470915617,4119.182860191688,596.8327281486281,116,EProp,0.01,0.1,0,0.39511987439033064
116,-40.55556072963758,0.6379937604632775,4119.355449010085,596.5549566975819,117,EProp,0.01,0.1,0,0.39513642943888294
117,-40.52828530825023,0.6640492755479315,4119.2334583798165,596.0503822292624,118,EProp,0.01,0.1,0,0.39512472786501635
118,-40.56059829296492,0.6225428961025372,4118.3141189067455,594.3141982413129,119,EProp,0.01,0.1,0,0.3950365430697667
119,-40.51742856619472,0.6646095958910729,4118.203816208579,594.0285263030456,120,EProp,0.01,0.1,0,0.39502596262463385
120,-40.46866424019356,0.7089256384917073,4117.758987868527,592.6783738470991,121,EProp,0.01,0.1,0,0.3949832938420592
121,-40.56705834684208,0.6712508650207898,4123.830921186287,597.0916100420525,122,EProp,0.01,0.1,0,0.395565725263836
122,-40.582379853788105,0.6590178880359554,4124.139774182406,597.6109919994499,123,EProp,0.01,0.1,0,0.39559535103214327
123,-40.57256028690674,0.6337047689209907,4120.6265055827735,594.5525816844166,124,EProp,0.01,0.1,0,0.3952583516089806
124,-40.52277066979603,0.6784596172573201,4120.123028705335,594.2883940918681,125,EProp,0.01,0.1,0,0.3952100571468691
125,-40.54592007049818,0.6852473809778798,4123.116745147606,596.6353337583434,126,EProp,0.01,0.1,0,0.39549722013641775
126,-40.55856572816256,0.6595851842607652,4121.8150912423325,595.1523876932404,127,EProp,0.01,0.1,0,0.3953723630118357
127,-40.49560156446253,0.7339319294747271,4122.953349393726,596.3464656293947,128,EProp,0.01,0.1,0,0.3954815469041433
128,-40.55115682232749,0.6974919862854394,4124.864880861293,597.2177400179662,129,EProp,0.01,0.1,0,0.3956649046474126
129,-40.54392469196591,0.6870213589234435,4123.094605088935,595.4734237630743,130,EProp,0.01,0.1,0,0.39549509641977354
130,-40.49458189842938,0.7037513883213071,4119.8333286750685,592.1102326974637,131,EProp,0.01,0.1,0,0.3951822685675671
131,-40.52398247419436,0.7335438091110857,4125.752628330544,597.0834983006529,132,EProp,0.01,0.1,0,0.39575005907741634
132,-40.52786521995706,0.7099716060152303,4123.783682597229,594.772122269236,133,EProp,0.01,0.1,0,0.3955611940482992
133,-40.531349846849785,0.7328315038841811,4126.418135073396,597.1656462987893,134,EProp,0.01,0.1,0,0.39581389575317616
134,-40.54615152621735,0.7276820834873101,4127.383360970466,597.9743394581594,135,EProp,0.01,0.1,0,0.39590648206171186
135,-40.48014560085863,0.7639274429023999,4124.407304376103,595.1138294447693,136,EProp,0.01,0.1,0,0.39562101303844815
136,-40.54646253730112,0.7056687523211131,4125.213128962223,594.8799632408777,137,EProp,0.01,0.1,0,0.3956983092692918
137,-40.5393054344762,0.7301648441694528,4126.947027864565,596.8271862009992,138,EProp,0.01,0.1,0,0.3958646281581956
138,-40.51575781059405,0.7708698364331701,4128.662764702723,598.6109219194223,139,EProp,0.01,0.1,0,0.3960292049072716
139,-40.52249409984035,0.7681866142775524,4129.068071411791,598.6692629801446,140,EProp,0.01,0.1,0,0.39606808269964255
140,-40.52783254029066,0.7668035829894446,4129.463612328011,598.8692469554255,141,EProp,0.01,0.1,0,0.39610602373854215
141,-40.595910967357526,0.6793495451055396,4127.526051246306,596.8482112503252,142,EProp,0.01,0.1,0,0.3959201691850517
142,-40.526314882315326,0.7487694543641359,4127.5084336679465,597.9365274114646,143,EProp,0.01,0.1,0,0.3959184792733423
143,-40.46660818638434,0.7633040488063503,4122.991223519069,593.2072469113012,144,EProp,0.01,0.1,0,0.3954851798624644
144,-40.52323086345142,0.7696629761179921,4129.289383956941,598.2791188905892,145,EProp,0.01,0.1,0,0.3960893114209712
145,-40.47701659301161,0.7697614440642071,4124.677803707582,593.5458546154769,146,EProp,0.01,0.1,0,0.39564695985011067
146,-40.49396684217902,0.7810748996915198,4127.504174187054,595.4612808683611,147,EProp,0.01,0.1,0,0.39591807069581303
147,-40.55383931142937,0.7670754293365043,4132.091474076588,599.5227238197747,148,EProp,0.01,0.1,0,0.3963580932482616
148,-40.5238118871823,0.7797221592847801,4130.353404646708,598.349929509887,149,EProp,0.01,0.1,0,0.39619137431440393
149,-40.515883176753455,0.7860070141592561,4130.189019091271,598.1733153970852,150,EProp,0.01,0.1,0,0.3961756061384767
150,-40.47986226749557,0.8099453186701169,4128.980758616569,596.8164081551378,151,EProp,0.01,0.1,0,0.3960597074898372
151,-40.49853772327152,0.8040193744497879,4130.25570977213,597.3323284590565,152,EProp,0.01,0.1,0,0.3961820032357502
152,-40.4672274589205,0.8369242049174632,4130.4151663837965,597.1327602477267,153,EProp,0.01,0.1,0,0.39619729861799247
153,-40.45538455876979,0.8494819162410385,4130.486647501082,596.3375681150748,154,EProp,0.01,0.1,0,0.3962041552230624
154,-40.510775267834745,0.8247358565738532,4133.55111244086,598.4164391925387,155,EProp,0.01,0.1,0,0.3964981045433949
155,-40.56869493995018,0.7487311651763795,4131.742610512656,596.6825338028818,156,EProp,0.01,0.1,0,0.3963246295899976
156,-40.49747165784608,0.8547756496771513,4135.224730752323,601.2376074638036,157,EProp,0.01,0.1,0,0.39665864120307887
157,-40.50109741293385,0.8501171728448869,4135.121458577874,600.8629753030402,158,EProp,0.01,0.1,0,0.39664873513918675
158,-40.54003178010454,0.8116840185292209,4135.171579863376,600.7317884793212,159,EProp,0.01,0.1,0,0.39665354286846316
159,-40.45057481287711,0.8484362213061347,4129.901103418324,595.9752205685728,160,EProp,0.01,0.1,0,0.3961479887181312
160,-40.53172360369168,0.8295963809194666,4136.131998461115,601.1132011029463,161,EProp,0.01,0.1,0,0.39674566805168043
161,-40.489867220838015,0.8362838116884745,4132.615103252649,598.0237369191158,162,EProp,0.01,0.1,0,0.3964083207572832
162,-40.49859980182573,0.82203350621052,4132.063330803625,597.1285034728257,163,EProp,0.01,0.1,0,0.39635539369185546
163,-40.51571330760438,0.8312300616534283,4134.694336925781,599.6023460544991,164,EProp,0.01,0.1,0,0.39660776481588417
164,-40.45539452927797,0.8566736969973467,4131.206822627531,596.2710813038098,165,EProp,0.01,0.1,0,0.3962732357944183
165,-40.49117534214962,0.8437903160567144,4133.496565820633,597.6522771102359,166,EProp,0.01,0.1,0,0.3964928723275734
166,-40.4789245117343,0.8979311702900601,4137.685568202435,601.6459377628838,167,EProp,0.01,0.1,0,0.3968946894236082
167,-40.46120081265522,0.8439294639544679,4130.513027660969,594.0843053653508,168,EProp,0.01,0.1,0,0.3962066856583003
168,-40.46632758987476,0.8915881001751726,4135.791569004993,598.7045819415982,169,EProp,0.01,0.1,0,0.3967130134091198
169,-40.48875451511996,0.8737385737662482,4136.24930888862,598.6589837723523,170,EProp,0.01,0.1,0,0.3967569206915738
170,-40.461455457134505,0.9049965800090174,4136.645203714353,598.9919942991166,171,EProp,0.01,0.1,0,0.39679489567814863
171,-40.49339614572963,0.8599871039817035,4135.338324971133,597.1534309883533,172,EProp,0.01,0.1,0,0.3966695373771481
172,-40.47364287745585,0.8669396413329862,4134.058251878883,595.9506784402499,173,EProp,0.01,0.1,0,0.39654675032530146
173,-40.48428059075063,0.8850212886948787,4136.930187944551,598.5485816532755,174,EProp,0.01,0.1,0,0.396822231908916
174,-40.47895722513935,0.8940085523922638,4137.296577753161,598.8533662227578,175,EProp,0.01,0.1,0,0.39685737671798843
175,-40.473181804783366,0.8773319953638254,4135.051380014719,596.4600702989458,176,EProp,0.01,0.1,0,0.3966420130697834
176,-40.48096779875654,0.9097771392594964,4139.074493801603,600.2494402845875,177,EProp,0.01,0.1,0,0.39702791781547797
177,-40.458324126404285,0.9267003292297468,4138.502445563403,599.6024588390427,178,EProp,0.01,0.1,0,0.3969730458576906
178,-40.4353797698936,0.9258648663751664,4136.124463626877,596.7627763580691,179,EProp,0.01,0.1,0,0.3967449452960129
179,-40.564608060995056,0.8555693360187688,4142.017739701382,601.8411690218552,180,EProp,0.01,0.1,0,0.3973102395743538
180,-40.44256480409954,0.9261938466320904,4136.8758650731625,598.2163345380511,181,EProp,0.01,0.1,0,0.3968170211555098
181,-40.442027288513664,0.947257580286554,4138.928486880021,599.5085626920825,182,EProp,0.01,0.1,0,0.39701391255315444
182,-40.474888065271465,0.9311569602886364,4140.604502556011,600.490741319987,183,EProp,0.01,0.1,0,0.39717467917261506
183,-40.399251427664346,0.9802588143166392,4137.951024198099,597.7852860242251,184,EProp,0.01,0.1,0,0.3969201524688827
184,-40.49491477324801,0.8851041903856318,4138.001896363365,596.4716702823653,185,EProp,0.01,0.1,0,0.3969250322239778
185,-40.49065058079636,0.893476677439029,4138.4127258235385,597.32097058618,186,EProp,0.01,0.1,0,0.39696443976916557
186,-40.44909082081412,0.9790378551609962,4142.812867597511,602.0414129443429,187,EProp,0.01,0.1,0,0.3973865097582971
187,-40.47579248739501,0.9524782719328728,4142.827075932789,601.6199687764077,188,EProp,0.01,0.1,0,0.3973878726489093
188,-40.49196970903331,0.9166032679308288,4140.857297696414,599.723321876203,189,EProp,0.01,0.1,0,0.39719892776451127
189,-40.4229737186208,0.9634692214917248,4138.644294011252,597.8581107197269,190,EProp,0.01,0.1,0,0.3969866522312843
190,-40.44313198580611,0.941269311946987,4138.44012977531,596.7645212997355,191,EProp,0.01,0.1,0,0.39696706840847323
191,-40.387416316126455,1.0162716856241278,4140.368800175058,598.2441064321298,192,EProp,0.01,0.1,0,0.39715207015079773
192,-40.42439423824136,1.0062046540824046,4143.059889232376,599.5601874809388,193,EProp,0.01,0.1,0,0.39741020454453313
193,-40.43656375155162,1.0242259170167385,4146.078966856835,601.9859334509703,194,EProp,0.01,0.1,0,0.3976998002270359
194,-40.44184536078494,0.9936082653836084,4143.545362616855,599.1302557944805,195,EProp,0.01,0.1,0,0.3974567720772709
195,-40.370299404392576,1.0378576571964544,4140.815706158903,596.2028178868611,196,EProp,0.01,0.1,0,0.39719493822492663
