rule,seed,epoch,J,MI_lb,E_total,compute_cost
Oja,1,25,-104.46164077452673,0.0,10446.164077452673,26
Oja,1,26,-104.39063491257716,0.0,10439.063491257715,27
Oja,1,27,-104.37932221980279,0.0,10437.932221980278,28
Oja,1,28,-104.48025189198344,0.0,10448.025189198344,29
Oja,1,29,-104.5738392320569,0.0,10457.383923205689,30
Oja,1,30,-104.56190093930807,0.0,10456.190093930807,31
Oja,1,31,-104.25433821749826,0.0,10425.433821749826,32
Oja,1,32,-104.43355038269678,0.0,10443.355038269678,33
Oja,1,33,-104.53967611681117,0.0,10453.967611681117,34
Oja,1,34,-104.39931314873728,0.0,10439.931314873727,35
Oja,1,35,-104.42356972952079,0.0,10442.356972952079,36
Oja,1,36,-104.59821292064711,0.0,10459.821292064711,37
Oja,1,37,-104.57445489526664,0.0,10457.445489526664,38
Oja,1,38,-104.48800463791139,0.0,10448.800463791138,39
Oja,1,39,-104.73560167923029,0.0,10473.560167923028,40
Oja,1,40,-104.68350079454558,0.0,10468.350079454558,41
Oja,1,41,-104.5162775032592,0.0,10451.62775032592,42
Oja,1,42,-104.43405923886337,0.0,10443.405923886337,43
Oja,1,43,-104.79823921982168,0.0,10479.823921982168,44
Oja,1,44,-104.65434520526973,0.0,10465.434520526973,45
Oja,1,45,-104.70010383252651,0.0,10470.010383252651,46
Oja,1,46,-104.52239208798402,0.0,10452.2392087984,47
Oja,1,47,-104.69173057545443,0.0,10469.173057545442,48
Oja,1,48,-104.4837894769511,0.0,10448.37894769511,49
Oja,1,49,-104.56760484482056,0.0,10456.760484482056,50
Oja,1,50,-104.59687463469389,0.0,10459.687463469389,51
Oja,1,51,-104.60337289533928,0.0,10460.337289533927,52
Oja,1,52,-104.41530471312768,0.09043394041384989,10450.573865354152,53
Oja,1,53,-104.17147091358348,0.45333563391350484,10462.4806547497,54
Oja,1,54,-104.56363000696005,0.0,10456.363000696005,55
Oja,1,55,-104.69646578761228,0.0,10469.646578761229,56
Oja,1,56,-104.54071725719713,0.2033099401591243,10474.402719735626,57
Oja,1,57,-104.64025529889216,0.0,10464.025529889215,58
Oja,1,58,-104.2116476164809,0.5769482579343901,10478.85958744153,59
Oja,1,59,-104.6045725357066,0.0,10460.45725357066,60
Oja,1,60,-104.48690360158383,0.22708369622612423,10471.398729780996,61
Oja,1,61,-104.2478183954243,0.49996507353955844,10474.778346896386,62
Oja,1,62,-103.78971620728929,0.982174035082966,10477.189024237225,63
Oja,1,63,-103.81187027743454,1.0368735076409248,10484.874378507546,64
Oja,1,64,-103.44817914449995,1.1511303089133365,10459.930945341328,65
Oja,1,65,-103.58621192849144,1.148822427748125,10473.503435623956,66
Oja,1,66,-103.65693884556448,1.1698085422450397,10482.674738780952,67
Oja,1,67,-104.17098225286314,0.5680898855843255,10473.907213844746,68
Oja,1,68,-104.60865630607893,0.17959274061254016,10478.824904669145,69
Oja,1,69,-104.74923173003896,0.0,10474.923173003895,70
Oja,1,70,-104.69092105984554,0.16934316111196113,10486.02642209575,71
Oja,1,71,-104.86924466532477,0.0,10486.924466532477,72
Oja,1,72,-104.78976737894173,0.0,10478.976737894172,73
Oja,1,73,-104.86402952651719,0.0,10486.402952651719,74
Oja,1,74,-104.78611419623235,0.0,10478.611419623234,75
Oja,1,75,-104.8073020533207,0.11864518045164862,10492.594723377235,76
Oja,1,76,-104.81564782307487,0.0,10481.564782307487,77
Oja,1,77,-104.92775359427776,0.0498749608871929,10497.762855516496,78
Oja,1,78,-104.19311119481603,0.5593139664007243,10475.242516121674,79
Oja,1,79,-103.86904945960046,1.1441769992923252,10501.322645889279,80
Oja,1,80,-103.46910004558625,1.3687138598290796,10483.781390541533,81
Oja,1,81,-103.49106428684323,1.5036173548112353,10499.468164165446,82
Oja,1,82,-103.67410068537315,1.3815722595362567,10505.56729449094,83
Oja,1,83,-103.8592680811229,1.2193429048444102,10507.861098596732,84
Oja,1,84,-105.17932768941279,0.0,10517.932768941278,85
Oja,1,85,-104.5366858713409,0.3547309320769174,10489.141680341781,86
Oja,1,86,-104.79610681763099,0.43616555110619704,10523.227236873718,87
Oja,1,87,-103.75392286202137,1.284745188834206,10503.866805085558,88
Oja,1,88,-103.58854272901213,1.474526478449199,10506.306920746132,89
Oja,1,89,-103.51896476796128,1.4313436506652542,10495.030841862654,90
Oja,1,90,-104.0141025293342,1.1987137863491344,10521.281631568332,91
Oja,1,91,-104.8480532698625,0.0,10484.80532698625,92
Oja,1,92,-105.16686630628875,0.0,10516.686630628876,93
Oja,1,93,-104.41804088724281,0.6122513150419615,10503.029220228476,94
Oja,1,94,-104.13127154354059,0.9110490029841589,10504.232054652475,95
Oja,1,95,-104.99893608223739,0.2527620358161857,10525.169811805357,96
Oja,1,96,-104.12742467811442,0.9443858676453765,10507.18105457598,97
Oja,1,97,-104.32355239199306,0.8900979729134839,10521.365036490653,98
Oja,1,98,-105.08583606759417,0.15372274031928157,10523.955880791345,99
Oja,1,99,-104.73258076978985,0.4466928605742986,10517.927363036415,100
Oja,1,100,-104.7869496494076,0.4512810386689736,10523.823068807658,101
Oja,1,101,-104.15283376994118,1.1101227335776946,10526.295650351887,102
Oja,1,102,-103.64044130166263,1.3522694652140537,10499.271076687668,103
Oja,1,103,-103.78237125458848,1.3663687655965138,10514.8740020185,104
Oja,1,104,-103.97895128197534,1.316949241076668,10529.5900523052,105
Oja,1,105,-104.56100448667563,0.5342156870560872,10509.522017373172,106
Oja,1,106,-103.92588756911164,1.271515726228924,10519.740329534055,107
Oja,1,107,-104.86086579514941,0.492567893486072,10535.343368863547,108
Oja,1,108,-104.23708593147309,0.7622194860076039,10499.93054174807,109
Oja,1,109,-105.01257342717071,0.17425199407573455,10518.682542124643,110
Oja,1,110,-104.41146702454449,0.9136024667756422,10532.506949132014,111
Oja,1,111,-105.05639338341285,0.0,10505.639338341285,112
Oja,1,112,-105.15923182954617,0.2342691315989347,10539.350096114511,113
Oja,1,113,-104.8528409234559,0.4059877894467787,10525.882871290269,114
Oja,1,114,-104.83985761331546,0.5390529260630692,10537.891053937852,115
Oja,1,115,-104.80205766966156,0.6346861981951859,10543.674386785675,116
Oja,1,116,-104.74186089420351,0.6450178747181239,10538.687876892163,117
Oja,1,117,-104.22180805686443,1.325816296931332,10554.762435379576,118
Oja,1,118,-103.99250576931472,1.3366147448132195,10532.912051412794,119
Oja,1,119,-104.70258643050302,0.5364427152097719,10523.90291457128,120
Oja,1,120,-104.58069633143143,0.7757684313420388,10535.646476277347,121
Oja,1,121,-104.38137623529371,0.9701826766694328,10535.155891196315,122
Oja,1,122,-103.61623391096808,1.57278714432727,10518.902105529534,123
Oja,1,123,-104.87647425454068,0.6592694923766382,10553.574374691732,124
Oja,1,124,-104.7668346414704,0.49538094853416315,10526.221559000456,125
Oja,1,125,-104.56019722517661,0.8747821169380643,10543.497934211468,126
Oja,1,126,-104.36910681870499,0.9222649861520562,10529.137180485704,127
Oja,1,127,-103.86358001997449,1.6711086383896498,10553.468865836414,128
Oja,1,128,-104.21478551121292,1.240866829693668,10545.56523409066,129
Oja,1,129,-104.13783830671755,1.3645824669585993,10550.242077367615,130
Oja,1,130,-104.01105273080266,1.4337578729286236,10544.481060373128,131
Oja,1,131,-104.17677763505357,1.5550708501510182,10573.184848520457,132
Oja,1,132,-105.25171916046484,0.5069869973072993,10575.870615777214,133
Oja,1,133,-105.15963741704897,0.047474072269699796,10520.711148931867,134
Oja,1,134,-104.445953609757,1.1273306872031221,10557.328429696012,135
Oja,1,135,-104.43032447346745,0.9292036516046904,10535.952812507214,136
Oja,1,136,-104.7429013817555,0.8034384412576099,10554.633982301311,137
Oja,1,137,-103.99980915715155,1.6906836001386862,10569.049275729023,138
Oja,1,138,-103.76144906599897,2.124658976003962,10588.610804200292,139
Oja,1,139,-103.88042954278527,1.8421716495132268,10572.26011922985,140
Oja,1,140,-104.45330855545548,1.4599323040653056,10591.324085952077,141
Oja,1,141,-105.44587306250294,0.0,10544.587306250294,142
Oja,1,142,-105.79097493962959,0.0,10579.09749396296,143
Oja,1,143,-104.77531336177637,1.0613046738977268,10583.66180356741,144
Oja,1,144,-103.71550760707301,1.9016252266558302,10561.713283372883,145
Oja,1,145,-104.08749592127435,1.683865839755232,10577.136176102958,146
Oja,1,146,-103.90130835488159,1.7582490250339688,10565.955737991555,147
Oja,1,147,-104.53655247526576,1.3055894967301467,10584.214197199592,148
Oja,1,148,-104.70631838290669,1.219271675730997,10592.559005863768,149
Oja,1,149,-104.31010779488585,1.5501210067090234,10586.022880159488,150
Oja,1,150,-104.66219278837427,0.9596945691930268,10562.18873575673,151
Oja,1,151,-104.89856458974019,0.9155793499419231,10581.41439396821,152
Oja,1,152,-105.22419394803191,0.426724097314207,10565.091804534612,153
Oja,1,153,-104.50848633622098,1.3075268976374859,10581.601323385847,154
Oja,1,154,-104.27662760651431,1.4512540306110306,10572.788163712534,155
Oja,1,155,-104.6199640602359,1.4168578739538864,10603.68219341898,156
Oja,1,156,-104.42235308345002,1.3249025165946025,10574.725560004463,157
Oja,1,157,-105.00168788004245,1.0115147551862833,10601.320263522874,158
